age,gender,height_cm,weight_kg,bmi,bmi_category,bmr,tdee,activity_level,activity_multiplier,Mod_act,Vig_act,has_activity_data,fitness_goal,workout_template_id,nutrition_template_id,data_source,split
57,Female,167.6,63.5,22.6,Normal,1307.3,2026.4,Moderate Activity,1.55,4.0,1.0,True,Maintenance,8,6,real,train
59,Female,167.6,65.8,23.4,Normal,1319.7,2388.6,High Activity,1.81,5.0,0.0,True,Maintenance,9,6,real,train
49,Male,182.9,79.4,23.73,Normal,1751.3,3169.8,High Activity,1.81,48.0,8.0,True,Fat Loss,3,1,real,train
57,Female,165.1,59.0,21.63,Normal,1257.5,1949.2,Moderate Activity,1.55,3.0,1.0,True,Maintenance,8,6,real,train
32,Male,154.9,77.1,32.12,Obese,1683.3,3046.8,High Activity,1.81,15.0,11.0,True,Fat Loss,3,3,real,train
25,Female,165.1,90.7,33.28,Obese,1689.7,2619.0,Moderate Activity,1.55,1.0,2.0,True,Fat Loss,2,3,real,train
57,Female,162.6,70.8,26.78,Overweight,1358.7,2459.3,High Activity,1.81,20.0,0.0,True,Fat Loss,3,2,real,train
42,Male,175.3,90.7,29.53,Overweight,1906.4,3450.5,High Activity,1.81,8.0,3.0,True,Maintenance,9,7,real,train
64,Male,170.2,81.6,28.19,Overweight,1635.5,2960.3,High Activity,1.81,2.0,3.0,True,Fat Loss,3,2,real,train
31,Female,170.2,79.4,27.41,Overweight,1574.6,2850.0,High Activity,1.81,12.0,1.0,True,Fat Loss,3,2,real,train
58,Male,188.0,99.8,28.25,Overweight,1998.0,3616.4,High Activity,1.81,5.0,3.0,True,Fat Loss,3,2,real,train
54,Female,175.3,79.4,25.84,Overweight,1490.7,2698.2,High Activity,1.81,25.0,10.0,True,Fat Loss,3,2,real,train
28,Female,165.1,61.2,22.46,Normal,1404.1,2541.4,High Activity,1.81,40.0,4.0,True,Fat Loss,3,1,real,train
62,Male,154.9,78.9,32.88,Obese,1537.3,1983.1,Low Activity,1.29,0.0,0.0,False,Fat Loss,1,3,real,train
46,Female,157.5,47.6,19.2,Normal,1176.7,2129.8,High Activity,1.81,40.0,0.0,True,Maintenance,9,6,real,train
46,Male,182.9,88.5,26.45,Overweight,1889.8,3420.6,High Activity,1.81,12.0,9.0,True,Fat Loss,3,2,real,train
21,Male,180.3,88.5,27.2,Overweight,2019.6,3130.3,Moderate Activity,1.55,3.0,1.0,True,Fat Loss,2,2,real,train
57,Male,182.9,100.2,29.97,Overweight,1985.4,3593.5,High Activity,1.81,20.0,0.0,True,Fat Loss,3,2,real,train
55,Female,160.0,45.4,17.71,Underweight,1124.6,1450.8,Low Activity,1.29,2.0,0.0,True,Muscle Gain,4,4,real,train
50,Female,167.6,72.6,25.82,Overweight,1421.5,2573.0,High Activity,1.81,40.0,6.0,True,Fat Loss,3,2,real,train
44,Female,160.0,56.7,22.14,Normal,1277.1,2311.6,High Activity,1.81,7.0,5.0,True,Maintenance,9,6,real,train
47,Male,172.7,72.6,24.33,Normal,1622.7,2937.1,High Activity,1.81,5.0,5.0,True,Maintenance,9,6,real,train
49,Female,154.9,47.6,19.84,Normal,1155.8,2092.1,High Activity,1.81,20.0,1.0,True,Maintenance,9,6,real,train
34,Female,165.1,56.7,20.8,Normal,1336.1,2071.0,Moderate Activity,1.55,3.0,2.0,True,Fat Loss,2,1,real,train
56,Male,154.9,90.7,37.79,Obese,1729.4,3130.1,High Activity,1.81,14.0,2.0,True,Fat Loss,3,3,real,train
26,Male,188.0,86.2,24.39,Normal,1997.4,3615.2,High Activity,1.81,30.0,6.0,True,Maintenance,9,6,real,train
54,Female,172.7,68.0,22.81,Normal,1378.0,2494.2,High Activity,1.81,8.0,1.0,True,Maintenance,9,6,real,train
52,Male,190.5,77.1,21.25,Normal,1740.4,3150.2,High Activity,1.81,6.0,3.0,True,Fat Loss,3,1,real,train
41,Male,182.9,81.6,24.41,Normal,1827.1,3307.0,High Activity,1.81,6.0,10.0,True,Maintenance,9,6,real,train
60,Male,180.3,72.6,22.32,Normal,1585.5,2869.7,High Activity,1.81,16.0,1.0,True,Fat Loss,3,1,real,train
37,Male,185.4,83.9,24.41,Normal,1892.3,3425.1,High Activity,1.81,4.0,5.0,True,Muscle Gain,6,5,real,train
